,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,country,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,director_cat,actor2_cat,genres_cat,actor_1_cat,actor_3_cat,plot_keywords_cat,content_rating_cat
0,723,178,0,855,1000,760505847,Avatar ,886204,4834,0,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,3054,English,USA,237000000,2009,936,7.9,1.78,33000,919,1348,106,250,3325,1316,7
1,302,169,563,1000,40000,309404152,Pirates of the Caribbean: At World's End ,471220,48350,0,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,1238,English,USA,300000000,2007,5000,7.1,2.35,0,792,2124,100,936,1334,4274,7
2,602,148,0,161,11000,200074175,Spectre ,275868,11700,1,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,994,English,UK,245000000,2015,393,6.8,2.35,85000,1994,2389,127,331,3021,2075,7
3,813,164,22000,23000,27000,448130642,The Dark Knight Rises ,1144337,106759,0,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,2701,English,USA,250000000,2012,23000,8.5,2.35,164000,375,506,286,1872,1694,3476,7
5,462,132,475,530,640,73058679,John Carter ,212204,1873,1,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,738,English,USA,263700000,2012,632,6.6,2.35,24000,98,2446,125,417,2608,650,7
6,392,156,0,4000,24000,336530303,Spider-Man 3 ,383056,46055,0,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,1902,English,USA,258000000,2007,11000,6.2,2.35,0,1997,1177,119,747,1888,4736,7
7,324,100,15,284,799,200807262,Tangled ,294810,2036,1,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,387,English,USA,260000000,2010,553,7.8,1.85,29000,1621,764,305,202,2072,27,6
8,635,141,0,19000,26000,458991599,Avengers: Age of Ultron ,462669,92000,4,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,1117,English,USA,250000000,2015,21000,7.5,2.35,118000,1205,2342,125,314,2908,1131,7
9,375,153,282,10000,25000,301956980,Harry Potter and the Half-Blood Prince ,321795,58753,3,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,973,English,UK,250000000,2009,11000,7.5,2.35,10000,542,622,443,29,2835,2002,6
10,673,183,0,2000,15000,330249062,Batman v Superman: Dawn of Justice ,371639,24450,0,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,3018,English,USA,250000000,2016,4000,6.9,2.35,197000,2353,1634,125,703,48,1560,7
11,434,169,0,903,18000,200069408,Superman Returns ,240396,29991,0,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,2367,English,USA,209000000,2006,10000,6.1,2.35,0,281,1830,125,1050,1078,3304,7
12,403,106,395,393,451,168368427,Quantum of Solace ,330784,2023,1,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,1243,English,UK,200000000,2008,412,6.7,2.35,0,1409,1860,1,652,2812,350,7
13,313,151,563,1000,40000,423032628,Pirates of the Caribbean: Dead Man's Chest ,522040,48486,2,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,1832,English,USA,225000000,2006,5000,7.3,2.35,5000,792,2124,100,936,1334,2183,7
14,450,150,563,1000,40000,89289910,The Lone Ranger ,181792,45757,1,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,711,English,USA,215000000,2013,2000,6.5,2.35,48000,792,2416,129,936,3201,4400,7
15,733,143,0,748,15000,291021565,Man of Steel ,548573,20495,0,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,2536,English,USA,225000000,2013,3000,7.2,2.35,118000,2353,524,106,703,1236,1563,7
16,258,150,80,201,22000,141614023,The Chronicles of Narnia: Prince Caspian ,149922,22697,4,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,438,English,USA,225000000,2008,216,6.6,2.35,0,83,2230,90,1484,695,2337,6
17,703,173,0,19000,26000,623279547,The Avengers ,995415,87697,3,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,1722,English,USA,220000000,2012,21000,8.1,1.85,123000,1205,2342,125,314,2908,637,7
18,448,136,252,1000,40000,241063875,Pirates of the Caribbean: On Stranger Tides ,370704,54083,4,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,484,English,USA,250000000,2011,11000,6.7,2.35,58000,1888,2439,100,936,3028,1940,7
19,451,106,188,718,10000,179020854,Men in Black 3 ,268154,12572,1,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,341,English,USA,225000000,2012,816,6.8,1.85,40000,169,1967,36,1954,2433,683,7
20,422,164,0,773,5000,255108370,The Hobbit: The Battle of the Five Armies ,354228,9152,0,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,802,English,New Zealand,250000000,2014,972,7.5,2.35,65000,1763,20,449,20,1397,1097,7
21,599,153,464,963,15000,262030663,The Amazing Spider-Man ,451803,28489,0,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,1225,English,USA,230000000,2012,10000,7,2.35,56000,1413,150,100,557,576,4544,7
22,343,156,0,738,891,105219735,Robin Hood ,211765,3244,0,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,546,English,USA,200000000,2010,882,6.7,2.35,17000,1879,2866,71,1216,2913,2,7
23,509,186,0,773,5000,258355354,The Hobbit: The Desolation of Smaug ,483540,9152,6,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,951,English,USA,225000000,2013,972,7.9,2.35,83000,1763,20,449,20,1397,3752,7
